"education_id","title","description","date_range","candidate_id"
16957,"Universidad Autonoma de Aguascalientes","Licenciatura en tecnologías de la información (Bachelor’s degree on information technology), Information Technology","2008 – 2013",9837
16992,"Universidad Nacional del Litoral","Analista en Informática Aplicada, Ingeniería informática","2007 – 2013",9851
17098,"Universidad Torcuato di Tella","MBA, Master of Business Administration, Business","2013 – 2014",9915
17099,"Universidad Tecnológica Nacional","Gestión Ágil de Proyectos (PMI ACP), Agile Methodologies","2015 – 2015",9915
17100,"Universidad Católica Argentina (UCA)","Programa de Desarrollo Gerencial, Business Administration and Management, General","2012 – 2012",9915
17101,"Universidad Catolica Argentina (UCA)","Programa de Negociacion y Resolucion de Conflictos","2011 – 2011",9915
17102,"Universidad de Buenos Aires / UBA","Programa Ejecutivo de Negocios en Internet y Marketing Online","2011 – 2011",9915
17103,"Instituto Argentino de Administración de Proyectos","-, Project Management PMI","2008 – 2008",9915
17104,"CYBSEC","-, Seguridad en Aplicaciones Web","2007 – 2007",9915
17105,"CYBSEC","-, Seguridad en Bases de Datos","2007 – 2007",9915
17106,"Instituto Argentino de Administración de Proyectos","-, Project Management PMI","2006 – 2006",9915
17107,"Universidad Nacional de La Matanza","Ingeniero, Ingeniería en Informática","1991 – 2003",9915
17117,"Duoc UC","Engineer's degree, Software Engineering","2012 – 2015",9919
17271,"FGV - Fundação Getulio Vargas","MBA, Entrepreneurship and Development of New Businesses","2010 – 2011",9996
17272,"Centro Federal de Educação Tecnológica Celso Suckow da Fonseca","Bachelor of Engineering (B.E.), Industrial Engineering","2005 – 2009",9996
18081,"Universidad Rafael Belloso Chacín","Bachelor of Science (B.Sc.), Computer Engineering","2009 – 2013",10366
17610,"Instituto Tecnológico de Aguascalientes","Bachelor of Science - BS, Computer and Information Sciences and Support Services","2002 – 2006",10151
17884,"Faculdade Salesiana Dom Bosco","Bacharel, Sistemas de Informação","2006 – 2009",10277
18139,"Universidade Estadual de Campinas","Bachelor's degree, Economics","2009 – 2012",10392
18254,"Instituto Tecnológico de Aeronáutica - ITA","Bachelor's degree, Computer Engineering","2006 – 2010",10448
18255,"Fundação Dom Cabral","Specialization Course, Business Management","2012 – 2013",10448
18324,"USCS - Universidade Municipal de São Caetano do Sul","Bacharelado em Ciências Humanas, Comunicação Social, Publicidade e Propaganda","2010 – 2013",10482
18325,"Centro Universitário Belas Artes de São Paulo","Digital Marketing, Fashion Blogging","2016 – 2016",10482
18326,"Centro Universitário Belas Artes de São Paulo","English for Creative People, Emphasis in IELTS and TOEFL preparation","2018 – 2019",10482
18327,"Centro Universitário Belas Artes de São Paulo","English for Creative People","2016 – 2017",10482
18350,"Universidad Nacional","Licenciatura en Diseño Grafico, Diseño gráfico","1998 – 2001",10496
18351,"Instituto Panamericano","Bachiller en Comercio, Comercio Bilingue","1991 – 1997",10496
17962,"Universidad Nacional de Catamarca",NULL,"2011 – 2018",10315
18443,"Da Vinci. Escuela de arte y diseño digital.",NULL,"2010 – 2013",10545
18450,"Unidad Profesional Interdisciplinaria de Ingeniería y Ciencias Sociales y Administrativas","Engineer's degree, Information Technology","2008 – 2015",10548
18544,"Universidad Tecnológica Nacional","Bachelor's Degree of Engineering (5 Year Degree), Software Engineering","2008 – 2013",10583
18609,"Universidade Estácio de Sá","Bachelor's degree, Computer Information Systems","2015 – 2018",10614
18610,"SENAI Suiço-Brasileiro","Technician, Informatic","2009 – 2010",10614
18611,"Colégio Rodrigues Alves",NULL,"",10614
18711,"Universidad Latina de Costa Rica","Licenciatura en Comunicacion con enfasis en Produccion de Medios","",10663
18776,"Centro Universitário Nove de Julho","Uninove, Análise e Desenvolvimento de Sistemas","2010 – 2012",10691
18900,"University of Tartu","Courses towards Masters of Software Engineering","2016 – 2017",10740
18901,"Universidad Nacional de Tucumán","Computer Engineering (5 years degree), Computer Engineering","2006 – 2011",10740
18902,"Udacity","Machine Learning Engineer Nanodegree, Machine Learning","",10740
18903,"Universidad de la República","Technologist in Computers, Computer Software Engineering","2009 – 2014",10741
18904,"Escuela Tecnológica Superior Buceo","Network Technician, IT","2007 – 2007",10741
18905,"Escuela Tecnológica Superior Buceo","Informatics Bachelor, IT","2004 – 2006",10741
19030,"Universidad Católica de Córdoba","Ingeniero en Sistemas","2004 – 2010",10797
19036,"Escuela Argentina de Negocios","RRHH, Analista en RRHH","2005 – 2009",10802
19735,"Universidad de Morón","Diseñador Gráfico","2007 – 2010",11104
19190,"Universidade de São Paulo","Bachelor of Science (BSc), Computing","2006 – 2010",10862
19258,"Universidad Tecnológica Nacional","Ingeniero en Sistemas, Sistemas","1999 – 2005",10897
19259,"Universidad Católica de Córdoba","MBA - Master of Business Administration, Negocios","2009 – 2010",10897
19375,"Udacity","Machine Learning Engineer, Machine Learning Engineer Nanodegree","2017 – 2017",10948
19376,"Universidad Nacional de Tucumán","Ingeniero Industrial","",10948
19736,"Universidad de Morón","Licenciatura en Diseño Gráfico Multimedial","2013",11104
20395,"Universidade da Região de Joinville","Bachelor's degree, Graphic Design","2007 – 2011",11379
20183,"Universidad ICESI","Ingeniero de Sistemas","2003 – 2008",11302
20196,"Pontifícia Universidade Católica do Rio Grande do Sul / PUCRS","Bachelor, Computer Science","2010 – 2011",11310
20201,"Universidad Tecnológica Nacional","Bachelor's degree, Systems Engineering","2009 – 2016",11313
20202,"University of Buenos Aires","Computer Science Bachelor's Degree, Computer Science","2008 – 2009",11313
20222,"Universidad Santiago de Cali","System's Engineer, Software Development in ORACLE - JAVA - LINUX","2006 – 2012",11321
20223,"IBM CLOUD","Business Process Manager Express or Standar Edition V8.5.5, IBM Certified BPM Application Developer","2017",11321
20224,"Ministerio de Tecnologías de la Información y las Comunicaciones de Colombia","Developer Native in Android (Basic)","",11321
20225,"IBM Learning","Java SE 8 Fundamentals","",11321
20226,"IBM Learning","Java SE 8 Porgramming: Encapsulation, Polymorphism and Abstraction","",11321
20227,"IBM Learning","Java SE 8 Fundamentals: Introduction to Java","",11321
20228,"Ministerio de Tecnologías de la Información y las Comunicaciones de Colombia","HTML5, CS3, Javascript, JQuery","",11321
20229,"SEONTI","Scrum Developer","",11321
20230,"Servicio Nacional de Aprendizaje (SENA)","CERTIFICATE, Database Design SQL – 160901","",11321
